product_name,product_price,product_price_range,product_type,product_body,product_variety,product_country,product_region,product_size,product_vintage,product_closure,product_seller,year
Timo Mayer Close Planted Pinot Noir,$58.00,$51 to $100,Red,Body,Pinot Noir,Australia,Yarra Valley,750ml,"Halliday Wine Companion
The Wine Front","Screw Cap
Screw Cap",Yarra Valley,2024
BK Gower Pinot Noir,$55.00,$51 to $100,Red,Body,Pinot Noir,Australia,Adelaide Hills,750ml,94,Screw Capml,Adelaide Hills,2023
Unico Zelo Esoterico,$24.00,$30 or Less,Amber,Body,Grenache,Australia,Riverland,750ml,10%,Screw Capml,Riverland,2022
Domaine Naturaliste Artus Chardonnay,$55.00,$51 to $100,White,Body,Chardonnay,Australia,Margaret River,750ml,"Halliday Wine Companion
Wine Pilot
The Wine Advocate
The Wine Front","Screw Cap
Screw Cap",Margaret River,2023
Voyager Chenin Blanc,$27.00,White,Chenin Blanc,Country,Margaret River,Australia,McLaren Vale,750ml,750ml,Screw Cap,Margaret River,2024
Helm Premium Riesling,$55.00,$51 to $100,White,Body,Riesling,Australia,Canberra,750ml,96,Screw Cap%,Canberra,2025
Cirillo Vincent Grenache,$23.00,$30 or Less,Red,Body,Grenache,Australia,Barossa Valley,750ml,2024,Screw Cap,Barossa Valley,2024
Giant Steps Yarra Valley Pinot Noir,$38.00,$31 to $40,Red,Body,Pinot Noir,Australia,Yarra Valley,750ml,"Halliday Wine Companion
The Wine Front","Screw Cap
Screw Cap",Yarra Valley,2024
Jean Foillard Morgon Cote du Py,$99.00,$101 and Above,Red,Body,Gamay,France,Beaujolais,750ml,94,Screw Capml,Beaujolais,2023
Fighting Gully Road Sangiovese,$35.00,$31 to $40,Red,Body,Sangiovese,Australia,Beechworth,750ml,Halliday Wine Companion,Screw Cap,Beechworth,2024
Dominique Portet Fontaine Cabernets,$28.00,$30 or Less,Red,Body,Cabernet Sauvignon,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,Yarra Valley,2024
Chatto Lutruwita Pinot Noir,$44.00,$41 to $50,Red,Body,Pinot Noir,Australia,Tasmania,750ml,94,Screw Cap%,Tasmania,2024
Discover Gentle Folk Wines Pack,$219.00,Australia,Adelaide Hills,Australian State,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,nan,Adelaide Hills,2024
Head Old Vine Grenache,$39.00,$31 to $40,Red,Body,Grenache,Australia,Barossa Valley,750ml,96,Screw Cap%,Barossa Valley,2023
Nick Spencer Gundagai Rose,$26.00,$30 or Less,Rosé,Body,Grenache,Australia,McLaren Vale,750ml,The Wine Front,Screw Cap,Gundagai,2025
Mercer Wines Bianco Vermentino,$29.00,$30 or Less,White,Body,Vermentino,Australia,Hunter Valley,750ml,2025,Screw Cap,Hunter Valley,2025
S.C. Pannell Sunrise 99 Grenache,$250.00,$101 and Above,Red,Body,Grenache,Australia,McLaren Vale,750ml,100,Screw Cap.Screw Cap%,McLaren Vale,2022
Bondar Rayner Vineyard Grenache,$38.00,$41 to $50,Red,Body,Grenache,Australia,McLaren Vale,750ml,"The Wine Front
James Suckling
Halliday Wine Companion","Screw Cap
Screw Cap
Screw Cap",McLaren Vale,2024
In Praise Of Shadows Grenache,$27.00,$30 or Less,Red,Body,Grenache,Australia,McLaren Vale,750ml,"94
93",Screw Capml,McLaren Vale,2023
Bubb + Pooley Pinot Noir,$65.00,$51 to $100,Red,Body,Pinot Noir,Australia,Tasmania,750ml,"The Wine Front
Halliday Wine Companion","Screw Cap
Screw Cap",Tasmania,2023
Forest Hill Estate Cabernet Sauvignon,$25.00,$30 or Less,Red,Body,Cabernet Sauvignon,Australia,Great Southern,750ml,"Halliday Wine Companion
Ray Jordan","Screw Cap
Screw Cap",Great Southern,2022
Van Higgins Free Ball Grenache Cinsault,$39.00,$31 to $40,Red,Body,Grenache,Australia,McLaren Vale,750ml,Organic,The Wine Front,McLaren Vale,2023
Shaw + Smith M3 Chardonnay,$50.00,$51 to $100,White,Body,Chardonnay,Australia,Adelaide Hills,750ml,93,Screw Capml,Adelaide Hills,2024
Ochota Barrels Texture Like Sun Sector 12,$40.00,$31 to $40,Red,Body,Pinot Noir,Australia,Adelaide Hills,750ml,James Suckling,Screw Cap,Adelaide Hills,2025
Riposte The Dagger Pinot Noir,$20.00,$30 or Less,Red,Body,Pinot Noir,Australia,Adelaide Hills,750ml,"91
94",Screw Cap%,Adelaide Hills,2024
Stargazer Tupelo,$37.00,$31 to $40,White,Body,Riesling,Australia,Tasmania,750ml,750ml,Screw Cap,Tasmania,2025
Yangarra Circle Rose,$24.00,$30 or Less,Rosé,Body,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,McLaren Vale,2024
Joshua Cooper Balgownie Vineyard 1970 Block Cabernet Sauvignon,$95.00,$51 to $100,Red,Body,Cabernet Sauvignon,Australia,Bendigo,750ml,96,Screw Cap.Screw Cap%,Bendigo,2024
S.C. Pannell Tempranillo Touriga,$28.00,$30 or Less,Red,Body,Tempranillo,Australia,McLaren Vale,750ml,"95
92",Screw Cap%,McLaren Vale,2021
Lambert Chardonnay,$36.00,$41 to $50,White,Body,Chardonnay,Australia,Yarra Valley,750ml,750ml,Screw Cap,Yarra Valley,2024
Oliver's Taranga Small Batch Grenache,$30.00,$31 to $40,Red,Body,Grenache,Australia,McLaren Vale,750ml,"Wine Pilot
The Wine Front
Halliday Wine Companion
The Real Review","Screw Cap
Screw Cap",McLaren Vale,2024
Coriole Fiano,$25.00,$30 or Less,White,Body,Fiano,Australia,McLaren Vale,750ml,2025,Screw Cap,McLaren Vale,2025
Vanguardist Grenache,$70.00,$51 to $100,Red,Body,Grenache,Australia,McLaren Vale,750ml,"The Wine Front
Halliday Wine Companion
James Suckling","Screw Cap
Screw Cap",McLaren Vale,2023
John Duval Entity Barossa Shiraz,$45.00,$51 to $100,Red,Body,Shiraz,Australia,Barossa Valley,750ml,"Halliday Wine Companion
The Real Review
James Suckling
Decanter
The Wine Front","Screw Cap
Screw Cap
Screw Cap",Barossa Valley,2022
Vickery Eden Valley Riesling,$20.00,$30 or Less,White,Body,Riesling,Australia,McLaren Vale,750ml,High Score,"The Wine Front
Wine Pilot
Halliday Wine Companion",Eden Valley,2024
Ahi Ka Sauvignon Blanc,$24.00,$30 or Less,White,Body,Sauvignon Blanc,New Zealand,Marlborough,750ml,95,Screw Capml,Marlborough,2023
NV Josef Chromy Sparkling,$28.00,$30 or Less,Sparkling,Variety,Grenache,Tasmania,McLaren Vale,750ml,Cork,nan,Tasmania,2024
Two Tonne Tasmania TMV Pinot Noir,$35.00,$31 to $40,Red,Body,Pinot Noir,Australia,Tasmania,750ml,91,Screw Capml,Tasmania,2024
Deep Woods Estate Reserve Chardonnay,$77.00,$51 to $100,White,Body,Chardonnay,Australia,Margaret River,750ml,"The Wine Front
The Wine Advocate
James Suckling
Ray Jordan","Screw Cap
Screw Cap
Screw Cap
Screw Cap",Margaret River,2023
Yangarra Estate Shiraz,$30.00,$30 or Less,Red,Body,Shiraz,Australia,McLaren Vale,750ml,"Halliday Wine Companion
The Real Review
Wine Pilot","Screw Cap
Screw Cap
Screw Cap",McLaren Vale,2022
Mercer Wines Bianco Vermentino,$29.00,$30 or Less,White,Body,Vermentino,Australia,Hunter Valley,750ml,2025,Screw Cap,Hunter Valley,2025
Nick Spencer Gundagai Rose,$26.00,$30 or Less,Rosé,Body,Grenache,Australia,McLaren Vale,750ml,The Wine Front,Screw Cap,Gundagai,2025
Dominique Portet Fontaine Cabernets,$28.00,$30 or Less,Red,Body,Cabernet Sauvignon,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,Yarra Valley,2024
Fighting Gully Road Sangiovese,$35.00,$31 to $40,Red,Body,Sangiovese,Australia,Beechworth,750ml,Halliday Wine Companion,Screw Cap,Beechworth,2024
Jean Foillard Morgon Cote du Py,$99.00,$101 and Above,Red,Body,Gamay,France,Beaujolais,750ml,94,Screw Capml,Beaujolais,2023
Giant Steps Yarra Valley Pinot Noir,$38.00,$31 to $40,Red,Body,Pinot Noir,Australia,Yarra Valley,750ml,"Halliday Wine Companion
The Wine Front","Screw Cap
Screw Cap",Yarra Valley,2024
Cirillo Vincent Grenache,$23.00,$30 or Less,Red,Body,Grenache,Australia,Barossa Valley,750ml,2024,Screw Cap,Barossa Valley,2024
Helm Premium Riesling,$55.00,$51 to $100,White,Body,Riesling,Australia,Canberra,750ml,96,Screw Cap%,Canberra,2025
Voyager Chenin Blanc,$27.00,White,Chenin Blanc,Country,Margaret River,Australia,McLaren Vale,750ml,750ml,Screw Cap,Margaret River,2024
Domaine Naturaliste Artus Chardonnay,$55.00,$51 to $100,White,Body,Chardonnay,Australia,Margaret River,750ml,"Halliday Wine Companion
Wine Pilot
The Wine Advocate
The Wine Front","Screw Cap
Screw Cap",Margaret River,2023
Xavier Goodridge Pa Pa Pinot Noir,$28.00,$31 to $40,Red,Body,Pinot Noir,Australia,McLaren Vale,750ml,750ml,Screw Cap,McLaren Vale,2024
Hoddles Creek 1er Yarra Valley Chardonnay,$65.00,$51 to $100,White,Body,Chardonnay,Australia,Yarra Valley,750ml,The Wine Front,Screw Cap,Yarra Valley,2024
Ochota Barrels Botanicals of the Basket Range,$45.00,$41 to $50,Amber,Body,Grenache,Adelaide Hills,McLaren Vale,750ml,94,Screw Capml,Adelaide Hills,2025
Yarra Yering Dry Red No. 1,$150.00,$30 or Less,Red,,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,nan,Yarra Valley,2022
Clonakilla Riesling,$33.00,$31 to $40,White,Body,Riesling,Australia,McLaren Vale,750ml,High Score,"The Wine Front
The Real Review
Halliday Wine Companion",Canberra,2025
Domaine Louis Moreau Chablis,$50.00,$41 to $50,White,Body,Chardonnay,France,Chablis,750ml,Cork,nan,Chablis,2023
Yangarra Circle Grenache,$24.00,$30 or Less,Red,Body,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,McLaren Vale,2024
Sato La Ferme de Sato Sur les Nuages Pinot Noir,$75.00,$51 to $100,Red,Body,Pinot Noir,New Zealand,Central Otago,750ml,97,Screw Capml,Central Otago,2022
Man O'War Exiled Pinot Gris,$33.00,$31 to $40,White,Body,Grenache,New Zealand,McLaren Vale,750ml,2024,Screw Cap,Waiheke Island,2024
Nanny Goat Vineyard Central Otago Pinot Noir,$35.00,$31 to $40,Red,Body,Pinot Noir,New Zealand,Central Otago,750ml,2024,Screw Cap,Central Otago,2024
S.C. Pannell Basso Grenache,$27.00,$30 or Less,Red,Body,Grenache,Australia,McLaren Vale,750ml,92,Screw Capml,McLaren Vale,2022
Ochota Barrels Mark of Cain Pinot Meunier,$45.00,$41 to $50,Red,Body,Pinot Meunier,Australia,Adelaide Hills,750ml,James Suckling,Screw Cap,Adelaide Hills,2025
Frankland Estate Riesling,$30.00,$31 to $40,White,Body,Riesling,Australia,Great Southern,750ml,James Suckling,Screw Cap,Great Southern,2024
Willunga 100 Grenache,$29.00,$30 or Less,Red,Body,Grenache,Australia,McLaren Vale,750ml,"Halliday Wine Companion
The Wine Front",Screw Cap,McLaren Vale,2024
Garagiste Le Stagiaire Chardonnay,$33.00,$31 to $40,White,Body,Chardonnay,Australia,Mornington Peninsula,750ml,"The Wine Front
Halliday Wine Companion","Screw Cap
Screw Cap",Mornington Peninsula,2024
Discover Mordrelle Wines Pack,$219.00,$31 to $40,Red,,Grenache,Australia,McLaren Vale,750ml,Halliday Wine Companion,nan,McLaren Vale,2024
Unico Zelo Jade & Jasper Fiano,$23.00,$30 or Less,White,Body,Fiano,Australia,Riverland,750ml,750ml,Screw Cap,Riverland,2024
Clonakilla Hilltops Shiraz,$28.00,$30 or Less,Red,Body,Shiraz,Australia,Hilltops,750ml,"The Wine Front
Halliday Wine Companion
The Wine Advocate","Screw Cap
Screw Cap
Screw Cap",Hilltops,2023
Bodega Garzon Albarino Reserva,$33.00,$31 to $40,White,Body,Albarino,Uruguay,McLaren Vale,750ml,Screw Cap,nan,Maldonado,2023
Nick O'Leary Riesling,$25.00,$30 or Less,White,Body,Riesling,Australia,Canberra,750ml,Halliday Wine Companion,"Screw Cap
Screw Cap",Canberra,2024
Bests Great Western Cabernet Sauvignon,$22.00,$30 or Less,Red,Body,Cabernet Sauvignon,Australia,McLaren Vale,750ml,"Halliday Wine Companion
The Real Review
James Suckling
The Wine Advocate","Screw Cap
Screw Cap
Screw Cap",Great Western,2021
Oliver's Taranga Small Batch Fiano,$24.00,$30 or Less,White,Body,Fiano,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,McLaren Vale,2025
Lambert Crudo Shiraz,$30.00,$30 or Less,Red,Body,Shiraz,Australia,McLaren Vale,750ml,750ml,Screw Cap,McLaren Vale,2024
Vasse Felix Chardonnay,$36.00,$41 to $50,White,Body,Chardonnay,Australia,Margaret River,750ml,94,Screw Cap%,Margaret River,2023
Domaine Naturaliste Artus Chardonnay,$55.00,$51 to $100,White,Body,Chardonnay,Australia,Margaret River,750ml,"Halliday Wine Companion
Wine Pilot
The Wine Advocate
The Wine Front","Screw Cap
Screw Cap",Margaret River,2023
Voyager Chenin Blanc,$27.00,White,Chenin Blanc,Country,Margaret River,Australia,McLaren Vale,750ml,750ml,Screw Cap,Margaret River,2024
Helm Premium Riesling,$55.00,$51 to $100,White,Body,Riesling,Australia,Canberra,750ml,96,Screw Cap%,Canberra,2025
Cirillo Vincent Grenache,$23.00,$30 or Less,Red,Body,Grenache,Australia,Barossa Valley,750ml,2024,Screw Cap,Barossa Valley,2024
Giant Steps Yarra Valley Pinot Noir,$38.00,$31 to $40,Red,Body,Pinot Noir,Australia,Yarra Valley,750ml,"Halliday Wine Companion
The Wine Front","Screw Cap
Screw Cap",Yarra Valley,2024
Jean Foillard Morgon Cote du Py,$99.00,$101 and Above,Red,Body,Gamay,France,Beaujolais,750ml,94,Screw Capml,Beaujolais,2023
Fighting Gully Road Sangiovese,$35.00,$31 to $40,Red,Body,Sangiovese,Australia,Beechworth,750ml,Halliday Wine Companion,Screw Cap,Beechworth,2024
Dominique Portet Fontaine Cabernets,$28.00,$30 or Less,Red,Body,Cabernet Sauvignon,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,Yarra Valley,2024
Nick Spencer Gundagai Rose,$26.00,$30 or Less,Rosé,Body,Grenache,Australia,McLaren Vale,750ml,The Wine Front,Screw Cap,Gundagai,2025
Mercer Wines Bianco Vermentino,$29.00,$30 or Less,White,Body,Vermentino,Australia,Hunter Valley,750ml,2025,Screw Cap,Hunter Valley,2025
Clonakilla Shiraz Viognier,$125.00,$101 and Above,Red,Body,Shiraz,Australia,Canberra,750ml,"The Real Review
Halliday Wine Companion
The Wine Front
Wine Pilot
The Weekend Australian
James Suckling
The Wine Advocate","Screw Cap
Screw Cap
Screw Cap
Screw Cap",Canberra,2023
Shaw + Smith Riesling,$35.00,$31 to $40,White,Body,Riesling,Australia,Adelaide Hills,750ml,"The Wine Front
Halliday Wine Companion
The Real Review
The Wine Advocate
Wine Pilot
James Suckling","Screw Cap
Screw Cap
Screw Cap",Adelaide Hills,2024
Domaine Naturaliste Rebus Cabernet Sauvignon,$35.00,$31 to $40,Red,Body,Cabernet Sauvignon,Australia,Margaret River,750ml,"93
94",Screw Cap%,Margaret River,2023
Dune Tirari,$24.00,$30 or Less,Red,Body,Negroamaro,Australia,McLaren Vale,750ml,2024,Screw Cap,McLaren Vale,2024
Small Island Riesling,$38.00,$31 to $40,White,Body,Riesling,Australia,McLaren Vale,750ml,92,Screw Cap.Screw Cap%,Derwent Valley,2024
La Crema Monterey Chardonnay,$35.00,$31 to $40,White,Body,Chardonnay,USA,McLaren Vale,750ml,Cork,nan,Monterey,2023
Blind Corner Orange in Colour,$24.00,$30 or Less,Amber,Body,Grenache,Margaret River,McLaren Vale,750ml,750ml,Screw Cap,Margaret River,2025
Spinifex Esprit,$33.00,$31 to $40,Red,Body,Grenache,Australia,McLaren Vale,750ml,"James Suckling
The Wine Front
Halliday Wine Companion","Screw Cap
Screw Cap
Screw Cap",Barossa Valley,2022
Ravensworth Barbera & Nebbiolo,$29.00,$31 to $40,Red,Body,Nebbiolo,Australia,Hilltops,750ml,92,Screw Capml,Hilltops,2024
Yarra Yering Dry Red No.3,$100.00,$101 and Above,Red,Body,Touriga,Australia,Yarra Valley,750ml,"Halliday Wine Companion
The Wine Front","Screw Cap
Screw Cap",Yarra Valley,2022
Ashton Hills Piccadilly Valley Pinot Noir,$40.00,$31 to $40,Red,Body,Pinot Noir,Australia,Adelaide Hills,750ml,95,Screw Capml,Adelaide Hills,2024
L.A.S. Vino Between the Capes Chardonnay,$49.00,$51 to $100,White,Body,Chardonnay,Australia,Margaret River,750ml,2024,nan,Margaret River,2024
Gilbert Pinot Noir,$35.00,$31 to $40,Red,Body,Pinot Noir,Australia,Orange,750ml,94,Screw Cap%,Orange,2023
First Foot Forward Cabernet Sauvignon,$32.00,$31 to $40,Red,Body,Cabernet Sauvignon,Australia,Yarra Valley,750ml,Halliday Wine Companion,Screw Cap,Yarra Valley,2022
Sentio Gamay,$38.00,$31 to $40,Red,Body,Gamay,Australia,King Valley,750ml,94,Screw Cap%,King Valley,2024
Holm Oak Pinot Noir,$33.00,$31 to $40,Red,Body,Pinot Noir,Australia,Tasmania,750ml,Wine Pilot,Screw Cap,Tasmania,2024
Blue Poles Allouran Merlot Cabernet Franc,$38.00,$31 to $40,Red,Body,Merlot,Australia,Margaret River,750ml,94,Screw Cap%,Margaret River,2021
Apogee Deluxe Vintage Brut,$60.00,$51 to $100,Sparkling,Country,Tasmania,Australia,McLaren Vale,750ml,750ml,Screw Cap,Tasmania,2021
Dalrymple Pinot Noir,$40.00,$31 to $40,Red,Body,Pinot Noir,Australia,Pipers River,750ml,750ml,Screw Cap,Pipers River,2023
Ghost Rock Supernatural Summer Skins,$28.00,$30 or Less,Amber,Body,Pinot Gris/Grigio,Australia,Tasmania,750ml,750ml,Screw Cap,Tasmania,2024
Gentle Folk Sauvignon Blanc,$30.00,$31 to $40,White,Variety,Grenache,Adelaide Hills,McLaren Vale,750ml,13%,Screw Capml,Adelaide Hills,2024
Woods Crampton White Label Barossa Shiraz,$20.00,$30 or Less,Red,Body,Shiraz,Australia,Barossa Valley,750ml,2022,Screw Cap,Barossa Valley,2022
Unico Zelo Pollen Gewurztraminer,$24.00,$30 or Less,White,Body,Grenache,Australia,Clare Valley,750ml,750ml,Screw Cap,Clare Valley,2023
Express Winemakers Chenin Blanc,$33.00,$31 to $40,White,Body,Chenin Blanc,Australia,Great Southern,750ml,750ml,Screw Cap,Great Southern,2023
Mercer Wines Bianco Vermentino,$29.00,$30 or Less,White,Body,Vermentino,Australia,Hunter Valley,750ml,2025,Screw Cap,Hunter Valley,2025
Nick Spencer Gundagai Rose,$26.00,$30 or Less,Rosé,Body,Grenache,Australia,McLaren Vale,750ml,The Wine Front,Screw Cap,Gundagai,2025
Dominique Portet Fontaine Cabernets,$28.00,$30 or Less,Red,Body,Cabernet Sauvignon,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,Yarra Valley,2024
Fighting Gully Road Sangiovese,$35.00,$31 to $40,Red,Body,Sangiovese,Australia,Beechworth,750ml,Halliday Wine Companion,Screw Cap,Beechworth,2024
Jean Foillard Morgon Cote du Py,$99.00,$101 and Above,Red,Body,Gamay,France,Beaujolais,750ml,94,Screw Capml,Beaujolais,2023
Giant Steps Yarra Valley Pinot Noir,$38.00,$31 to $40,Red,Body,Pinot Noir,Australia,Yarra Valley,750ml,"Halliday Wine Companion
The Wine Front","Screw Cap
Screw Cap",Yarra Valley,2024
Cirillo Vincent Grenache,$23.00,$30 or Less,Red,Body,Grenache,Australia,Barossa Valley,750ml,2024,Screw Cap,Barossa Valley,2024
Helm Premium Riesling,$55.00,$51 to $100,White,Body,Riesling,Australia,Canberra,750ml,96,Screw Cap%,Canberra,2025
Voyager Chenin Blanc,$27.00,White,Chenin Blanc,Country,Margaret River,Australia,McLaren Vale,750ml,750ml,Screw Cap,Margaret River,2024
Oliver's Taranga Small Batch Fiano,$24.00,$30 or Less,White,Body,Fiano,Australia,McLaren Vale,750ml,Halliday Wine Companion,Screw Cap,McLaren Vale,2025
Tim Adams Shiraz,$22.00,$30 or Less,Red,Body,Shiraz,Australia,Clare Valley,750ml,2021,Screw Cap,Clare Valley,2021
